square_feet,bedrooms,bathrooms,age_years,lot_size,garage_spaces,neighborhood_score,price
3574,2,2,24,2568,2,1.31,595112.5623088267
3907,2,2,20,5989,3,5.65,659978.2290235267
1260,3,1,11,636,2,4.42,318973.8046064454
1694,3,3,56,3028,1,7.97,288343.0142145818
1530,2,1,40,1756,1,7.24,269864.08055003965
1495,4,2,32,7770,2,6.9,355507.13732976833
3492,1,1,49,7680,3,3.41,503114.9360993602
2038,1,3,52,9696,0,8.05,351224.5083448005
2569,4,1,3,382,2,0.52,505342.65610942064
866,2,3,41,7390,2,1.6,193581.09243973924
1638,3,2,56,6887,0,3.36,260390.34872068887
730,1,2,6,5765,2,0.77,233791.83004465819
1882,5,3,21,7441,0,2.35,454101.8041636812
2535,5,2,54,7851,3,8.3,456605.30832458555
3844,4,2,32,5775,1,9.48,737766.5424381638
3571,2,2,16,1789,3,3.05,622811.865349696
3319,1,2,23,9979,1,2.65,601806.7335396367
530,2,3,33,9051,0,2.8,139877.8085572003
2085,1,1,27,359,1,2.78,325989.6658781613
3780,4,1,57,6755,3,0.36,607643.4453384435
1169,4,2,42,9403,1,9.27,269950.2071004102
2791,5,1,40,8444,0,2.14,547445.9307564645
1915,2,1,38,7046,1,4.2,321414.73601358733
3885,5,2,21,2507,2,0.1,710018.0713492262
3253,2,2,48,1428,3,8.58,542086.2151498589
2833,5,1,16,7426,2,7.31,565385.2960615059
1615,3,3,33,5790,0,9.47,373182.410685805
1355,3,2,5,7119,1,7.82,321526.38328613737
2724,3,3,45,5785,2,3.14,472309.8278585719
1584,3,1,5,9427,2,2.48,387627.20619693585
859,1,2,33,6246,1,6.98,177129.04261534865
3785,3,3,0,5145,1,3.64,734944.303650001
421,4,2,9,8127,3,5.66,269047.2823337086
2700,4,1,20,7216,2,0.06,534688.0309666496
1147,1,3,4,7958,2,0.62,289575.5269028229
3304,3,1,1,5286,0,5.35,657008.852997036
874,3,1,21,9656,3,5.66,237825.27702407533
1482,3,2,47,7361,0,7.51,273545.80718014896
2958,5,3,56,2084,2,1.32,524219.1933699447
2447,2,1,1,2009,0,5.13,457409.5646796604
3947,5,1,9,3367,2,1.94,720219.7868607768
3147,2,3,33,6552,2,0.93,515271.00349679
1375,3,1,15,9209,0,4.1,310312.0314875839
2206,3,1,47,6256,0,1.63,336632.52428898687
589,5,3,50,2637,1,2.22,213440.1757796256
3405,5,3,38,6668,1,3.18,631175.1535352952
3134,2,3,21,9280,1,2.59,564400.2148501702
3405,4,3,11,6151,2,0.88,690578.7957280531
962,2,2,23,5476,0,0.9,209995.85274895444
2299,5,3,46,9059,3,1.93,468247.65144425904
1667,5,2,39,8018,2,0.51,346801.36504471116
3279,1,2,37,4928,3,6.26,619640.0360799815
1928,5,2,59,2824,0,2.87,342693.7152452348
3602,1,1,58,5938,2,2.8,541264.5915476879
3956,4,2,9,4432,3,3.32,733765.0895953301
1046,2,2,34,5993,3,6.63,229216.2922715265
2468,2,1,50,4723,1,8.71,433022.9177658058
3288,1,1,48,5771,1,7.59,524450.6187871126
2614,2,1,31,9210,1,7.28,464512.4420746657
1697,5,3,6,9498,2,4.84,453434.5821640595
2835,3,1,20,2424,0,6.94,501237.28456086846
1000,1,1,19,8589,0,5.53,187245.78529487742
2763,2,2,25,6291,1,2.16,460375.01339722716
2461,1,1,3,8862,1,2.09,470620.88368522027
641,1,3,45,6561,1,2.96,133928.62445584117
2441,3,1,51,2148,3,9.11,435497.57632684545
3224,5,3,21,7294,1,5.47,640860.0402407547
3817,1,1,14,6518,3,7.34,669718.7795026633
3012,2,1,55,3996,0,3.47,426561.12470051734
3345,4,1,39,434,2,4.08,557311.8387445939
1763,1,1,20,9320,2,1.26,355211.24872284353
2539,1,3,14,3807,2,1.71,473024.14593681484
1790,3,3,21,8243,2,8.27,422945.0867657308
3403,5,2,51,722,3,5.85,624159.08027715
1878,4,3,27,6104,3,3.38,427728.8177246605
3899,2,1,13,5088,1,8.03,682928.6548805031
2956,4,2,26,6032,3,2.47,549141.4964609259
1175,2,2,40,7322,1,9.76,222251.6994312683
434,5,2,39,6042,1,3.45,150577.70489743107
2653,2,1,57,1516,2,3.37,404201.1683364107
3552,3,3,27,1324,3,3.12,647225.8130564413
2355,3,1,25,5821,3,1.22,425631.36872468825
1985,3,2,48,5623,1,1.11,347927.97683270415
3859,3,1,1,2787,1,6.48,717733.1292190821
3473,4,1,24,9415,0,8.75,619130.6801740127
1421,5,3,55,5872,0,7.91,303067.4491074145
3861,2,3,2,1578,1,1.41,708478.8335012095
3013,2,2,7,3574,0,5.46,534310.8929176115
1529,3,1,43,1719,0,1.06,256292.535297919
1900,3,1,32,5977,1,0.45,345324.47208327125
1102,1,3,41,8135,1,6.56,194266.00588997948
2849,5,1,51,6293,3,5.35,523381.93469996203
3177,4,1,34,8618,1,0.82,560558.971733118
1979,2,1,5,5555,1,0.35,371489.977477224
561,1,3,38,5168,2,9.9,142240.32700267583
601,1,2,51,9283,3,0.3,87447.60138137621
2381,2,2,22,5774,3,4.45,449068.0206175221
1395,4,1,24,4272,3,5.05,329702.35979125707
2717,1,2,58,2457,2,1.17,379083.5568261136
1215,1,3,49,8788,1,1.69,172198.24203512224
3742,5,3,42,4624,3,3.52,678336.2395072675
855,4,2,18,3437,3,7.62,273638.15786375996
3933,1,2,4,4093,0,5.07,691682.774192645
1675,4,1,50,2205,3,6.38,331695.29829553864
1416,2,2,10,2216,1,9.85,343106.42157750006
2743,3,1,55,9588,1,7.68,433885.6220600206
3167,1,1,11,1972,0,4.34,527845.0155815869
737,5,3,9,8553,3,4.46,269575.0700199693
1278,2,3,7,4176,3,6.19,348200.4079636198
1476,4,3,23,1951,3,6.65,386469.95347801596
1191,2,3,59,9167,2,5.01,211981.4966427815
2664,1,2,27,7630,3,6.45,486118.5962344356
1163,4,3,40,7370,1,0.24,234611.51449259894
2635,3,2,35,6669,1,4.3,455466.66019200353
779,2,3,36,9331,2,2.79,212190.98476864552
892,1,2,20,3420,2,1.29,204735.06557079148
3512,5,1,7,739,3,1.0,674040.9097791046
1580,4,2,54,1661,0,6.03,296639.2463480942
2462,2,2,8,5384,2,5.24,492553.9623359982
464,2,3,46,8747,2,2.54,117629.5807215568
2968,3,2,14,434,3,4.71,568541.4537879342
1767,3,1,47,1748,3,4.92,305197.6461737693
1552,5,1,45,7680,2,1.95,295334.4809836294
2427,5,3,39,4413,0,6.52,504569.716118042
3095,1,1,17,1873,2,7.81,521065.5113341482
1895,1,2,41,6908,3,7.91,323148.78571406176
3534,5,1,59,8182,3,6.02,580937.0335897328
1562,5,3,19,2300,2,5.12,348540.64264821744
1922,4,2,5,3948,0,0.61,432055.93736237974
3040,3,3,11,3373,2,2.88,610258.1737407242
791,1,2,1,2015,2,0.93,237330.77169189416
2098,3,1,6,4041,3,9.64,461721.21367659635
818,3,3,15,8216,0,1.35,231742.14945412808
2736,5,3,2,7211,1,1.52,590227.5377339371
778,4,2,44,4693,0,8.9,186454.84740323594
2196,2,3,2,874,2,9.44,502863.80701480375
3961,4,2,26,8288,2,7.66,731175.6950254209
2678,4,2,49,8778,2,0.05,478967.41592002806
3465,3,2,42,2358,0,0.01,541655.8633607919
2488,4,2,39,2861,3,3.78,498678.95812441414
3499,1,1,37,2264,2,1.43,496573.22241130524
2582,3,2,32,3453,2,0.18,436335.51650563907
600,1,3,27,5179,0,4.64,152872.21048469117
2263,2,1,0,7903,1,9.43,503558.2150246187
1179,3,3,54,9131,1,3.24,227329.99600482458
3377,2,1,7,1601,3,6.61,603734.5838854532
3504,3,2,36,3459,3,6.52,640091.2541031669
3519,5,1,31,4123,2,2.51,643099.968840298
902,4,1,59,4414,0,6.5,186432.27623988487
2854,5,3,47,3427,2,2.12,506506.97830511315
2151,2,3,42,2945,3,1.22,407433.3697202185
1204,4,2,36,6291,0,7.01,241242.85086463456
2546,3,1,3,4066,0,1.13,476658.55707690265
3131,4,1,29,6018,3,9.97,606851.6550564786
2295,1,1,5,2422,1,1.83,413304.2675639819
3173,4,2,45,2992,1,5.94,570965.8467196473
1970,1,2,53,4263,0,4.11,243822.79965981553
1360,4,2,18,1724,2,1.26,328048.14959398075
3060,1,2,31,8424,1,0.28,518680.84065567894
1885,2,2,8,6398,2,6.23,409421.8845414419
3090,5,3,11,4225,1,8.07,626313.206404666
1428,3,1,10,2766,1,8.42,350142.1478965331
3689,4,1,45,3003,2,4.83,605879.7945971261
902,5,1,54,3909,3,7.77,206941.53975874244
3214,3,1,15,6355,1,6.73,570997.2849423299
797,3,1,0,919,1,7.24,244134.29774102074
1270,1,1,44,6716,2,4.93,209383.2044074574
3242,2,1,54,4779,3,6.33,486465.9989059384
792,2,1,52,1172,1,8.06,105051.08246540112
606,5,3,20,3918,1,3.98,231786.34248275563
1438,2,1,29,7595,3,8.06,282970.2270422672
2281,4,3,12,4602,1,5.92,500849.1645309886
3339,2,2,33,4752,3,1.66,576558.4319280176
1884,5,1,3,2407,3,0.25,451641.47620533186
1263,2,2,27,4626,2,3.63,270098.63777495606
3190,4,2,37,7119,0,5.47,598567.8343057722
3712,1,2,57,9035,3,8.4,594543.6719925432
963,5,3,30,8586,2,1.27,306111.2849577849
1420,1,2,58,8880,0,8.0,200467.68500446054
495,1,2,54,2404,1,8.63,95828.12285322983
2323,1,2,26,5545,0,1.51,372822.9495241336
2157,3,1,4,3476,3,8.52,481290.9665517718
2932,3,1,24,1302,3,9.91,521706.66263635235
3878,1,3,2,5443,3,7.27,728720.6826397624
2678,5,3,32,6814,3,7.85,550370.3952966132
3196,4,1,3,9633,3,9.94,686206.7130896782
2078,4,3,24,8907,2,6.05,482181.5292399757
3642,2,1,19,5423,3,3.08,624053.4522488181
940,5,2,33,8784,2,8.38,328699.4985724908
1459,3,2,25,830,1,6.14,303212.4340761305
2972,1,3,4,9371,3,5.81,556731.6219865495
1583,2,1,34,6883,3,2.54,280253.6405927464
2122,4,1,27,477,0,7.56,382051.179552843
3714,3,3,28,432,1,0.82,647016.0420357251
3557,3,1,8,9944,3,9.24,665450.739466551
2219,1,2,51,5890,3,3.26,341625.7196838751
3025,4,3,37,7859,1,1.28,560599.0434107354
3129,5,3,49,225,2,4.42,572832.917894236
3004,3,1,5,7668,3,0.42,581943.1237531644
1997,1,3,18,6610,0,6.85,384840.0103808814
3460,5,1,59,8852,3,9.03,603383.998049847
3093,4,1,43,3964,0,8.37,493912.9588866734
1195,3,1,56,6799,0,1.27,171721.2355851071
1451,5,1,10,5302,3,1.26,386408.9956863057
2043,5,1,1,7206,3,8.13,505513.3002278119
1763,5,3,46,3683,0,9.24,380365.76746261003
2381,3,2,43,2194,1,4.61,397632.3394098103
1754,3,2,43,8882,1,4.99,349720.7215975586
2063,2,3,8,1272,3,3.18,389407.64265057334
1929,4,3,20,6907,2,8.94,457812.8102584671
2438,1,2,23,415,1,6.45,446857.6069424256
3819,5,2,33,7805,3,2.88,741053.9703208293
1896,2,2,21,9984,1,2.99,366701.4766151505
3702,1,2,2,2806,2,8.91,647118.0368871423
2637,2,2,11,8550,3,0.14,538399.4568468672
3696,3,1,27,4981,2,3.23,634014.6966638888
1808,5,3,29,3513,3,5.54,428666.6092146024
1800,1,1,25,7963,2,1.48,297508.9071824454
1706,1,2,47,6139,1,0.92,231940.25038283484
3080,1,2,20,2495,1,8.15,542717.2633784871
3075,1,2,27,5885,2,8.94,549237.4290951733
1372,1,1,55,1896,2,8.24,203342.88003598843
2168,2,1,25,2146,2,8.99,386181.08436812315
1682,5,2,32,2983,3,5.53,369556.023497817
3830,3,1,20,3844,1,8.12,642903.0268956021
1109,3,1,34,5441,3,3.84,234541.09647844054
1879,3,2,51,6620,1,6.66,312952.9287050207
1834,3,1,33,7757,0,9.89,315097.8060941791
1048,2,3,40,2845,3,2.26,237696.90024706096
717,4,3,50,6789,1,3.9,161446.72277030066
3696,5,3,46,6553,1,4.8,684584.4536286147
1657,1,3,17,2132,3,1.38,345835.43420226924
1083,4,2,57,1957,3,0.81,220680.82375236799
1063,3,2,10,5285,1,8.3,328226.1809212018
2398,4,2,56,5837,3,9.77,422967.9473187095
3845,5,3,22,1316,2,4.05,750007.439920976
2031,1,3,47,692,3,0.88,323721.1485395714
1895,1,1,21,9011,3,0.66,398673.4031325908
3704,5,1,16,8088,3,8.91,723890.1113772158
1536,5,3,4,6674,1,4.64,413821.83327748766
2253,3,3,43,9938,2,3.2,434936.7154971453
1920,1,3,10,5158,0,4.76,373417.8293558272
2889,4,3,29,9997,0,3.18,534714.7407540026
963,2,1,14,9667,2,4.89,226048.46432128325
1691,2,3,26,2943,2,8.6,387500.0897677481
3981,5,1,34,8066,2,5.92,694772.7673620002
3857,3,3,32,7360,1,6.95,689581.75120761
3858,2,3,19,5651,0,3.65,689075.6827925219
3584,1,3,15,5458,2,7.39,667775.8997088526
2036,5,1,33,8748,1,6.67,409872.9519563712
3399,4,1,1,7386,0,1.2,637098.3039874848
3552,5,2,34,6302,3,5.73,666590.1299797125
1098,4,3,39,9261,1,2.57,237231.6247466825
2560,5,2,55,9277,0,8.04,477424.3476604023
401,5,2,27,9675,1,4.26,199050.07291269617
1041,5,1,46,819,0,9.95,259449.70161203758
2667,4,1,38,1082,0,0.93,427539.8980539715
1989,4,2,5,9188,3,7.8,511899.9311723539
1254,5,3,8,3842,1,6.74,398188.6830056841
2159,2,1,19,1496,2,7.67,407793.4337361577
3696,3,3,59,8636,3,3.08,574494.7685833266
2832,3,3,0,3095,3,4.92,590498.6468511142
3874,3,2,7,6793,0,7.97,750313.4224860823
2061,4,2,54,1129,2,2.33,366339.1154298382
1553,4,2,22,5566,1,2.26,360729.99411743775
1476,2,2,2,8911,2,5.51,359968.66836730065
2107,3,1,3,3412,2,5.24,443125.14180273743
3177,3,1,57,2609,2,2.82,453881.1086260099
2095,5,2,24,8399,2,2.98,477882.78434110613
2133,4,1,46,3623,2,2.78,400129.6240944475
1839,3,2,37,7176,0,7.72,330344.75429066626
2694,2,3,14,7794,0,6.52,512670.89756983385
1235,2,3,20,5358,3,8.32,309651.17445291416
3910,3,3,34,3867,0,9.75,688887.0658797257
602,4,2,56,6173,3,4.74,153978.7283698181
3655,2,3,52,6436,3,0.67,612758.8184636601
522,5,1,52,8477,1,0.48,139120.48632248977
800,2,3,45,2668,2,2.96,118227.53888830604
1166,1,3,51,6417,0,9.33,207578.40550385287
693,1,3,13,3819,1,5.23,216205.01975181568
2727,4,1,35,1836,0,2.72,442840.7667947012
3331,3,2,11,8355,3,3.99,654504.5386994915
597,4,1,16,3783,0,5.99,234685.1933950842
3429,4,2,38,4209,2,6.53,618599.3275035648
2330,4,2,8,3526,3,1.54,528004.5772865898
3982,4,3,34,8348,3,9.77,741462.9005952696
3199,5,2,59,2417,1,5.45,542674.7142308569
2591,5,1,12,5167,2,1.36,529971.5742414731
1008,2,1,14,2569,3,8.94,252415.59147304887
3672,1,2,17,3838,2,0.75,613771.5590983385
1547,4,3,50,9335,0,9.08,290346.3643815137
586,2,3,32,5922,2,9.97,184036.39731233407
3797,1,1,5,4644,3,7.0,701594.1291085357
2911,3,3,58,7818,1,7.7,475112.19886296336
3820,5,2,26,4147,3,3.37,698081.3345705338
2194,1,2,22,1876,2,9.42,408336.2474278951
1059,3,1,58,1396,2,5.3,178765.66286714489
3211,1,2,26,2987,3,7.32,565133.2943810797
3402,5,1,33,7632,2,9.24,640009.2285363072
2355,5,2,55,9853,0,9.75,443643.2832891667
2850,2,1,45,8127,3,8.33,476726.30452742
1769,4,3,37,3518,1,3.03,336960.0768940007
2386,1,2,13,9058,3,9.67,477598.16263378697
1934,1,2,35,6889,0,6.28,337209.9399288493
546,3,1,52,2376,0,9.31,115883.09252704668
3619,5,1,7,3943,0,6.76,657131.1574612142
3311,1,2,34,8992,0,3.07,530882.5072661816
2134,5,1,18,4622,0,3.7,421588.60948285664
2243,1,2,29,4024,1,5.5,410841.28010442766
888,2,3,13,9371,2,7.9,281167.3956585676
3376,4,1,58,2651,0,3.18,538167.6792026121
2359,1,2,19,828,0,5.8,405329.3628882972
2063,5,3,48,7978,3,3.46,433464.9000220505
2998,2,3,24,3896,1,8.16,578888.8983530649
2785,1,2,39,3874,1,4.67,460963.4879325003
3319,3,1,23,4129,2,0.77,579775.1730449509
1040,4,2,13,2965,1,1.66,276916.67147725204
2202,1,3,25,4569,3,0.61,372124.5054893826
2920,2,2,37,8507,3,4.99,522475.3506974828
2369,3,1,22,5156,2,1.06,437319.9206136057
2598,2,3,21,892,3,1.14,498983.1209416455
1838,2,2,47,3362,0,9.41,323810.3768306957
3769,3,1,56,1305,0,8.73,601808.4219009449
2034,2,3,18,3208,3,4.52,430815.8582178881
662,3,1,45,2361,2,9.86,137674.7906974359
2187,1,3,50,8545,1,0.0,297153.72898163734
2591,3,2,2,3899,2,6.14,524374.0027928642
2793,3,1,41,3986,1,6.16,495071.76999010134
1023,4,3,18,9456,3,4.57,361541.8293859888
1416,3,1,8,4400,3,3.97,337351.9849646165
1280,3,1,27,2113,0,4.55,221656.81491435296
2449,1,2,19,9608,1,4.15,428047.7284999432
3344,4,1,44,5720,2,7.3,604696.1164539574
1727,5,3,6,1972,3,1.35,438223.73652945785
2701,1,3,13,2980,2,1.98,507832.4789533503
852,1,3,8,7623,0,1.81,220847.1660259607
3508,5,3,58,3071,1,2.62,613402.0651807411
1583,3,2,59,860,1,5.25,293280.2199789408
3462,2,1,54,6442,3,1.11,544309.6295106867
2456,4,2,56,1332,1,8.68,428042.3255327586
3704,2,1,59,899,3,2.97,591875.4713161783
3570,5,1,18,7670,0,1.63,661721.0420325012
2082,1,1,46,6497,1,6.76,302715.050053368
3263,1,2,51,8012,3,0.38,518363.3057953897
2655,4,1,13,4757,2,6.2,544313.1108426594
1554,1,2,55,2379,3,6.98,242639.953154588
803,1,3,37,9265,1,2.15,156078.27895067452
2599,4,3,52,8475,0,0.42,443094.8102537018
